SALARY,EXPERIENCE,AGE,HT,WT,PPG_LAST_SEASON,APG_LAST_SEASON,RPG_LAST_SEASON,PER_LAST_SEASON,PPG_CAREER,APG_CAREER,RGP_CAREER,GP,MPG,FGP,THP,FTP,APG,BLKPG,STLPG,TOPG
3940402,3,22,200.66,110.86,8.7,1.6,3.7,9.08,7,1.5,3.4,219,22.6,0.37,0.295,0.76,1.5,0.2,0.9,1.2
3275280,1,22,195.58,93.21,7.6,1.7,2.4,12.19,7.6,1.7,2.4,73,20,0.443,0.415,0.855,1.7,0.2,0.6,0.9
10002681,7,29,208.28,103.17,5.4,4,0.4,8.98,6.7,4,0.3,336,16.5,0.478,0.335,0.769,0.9,0.3,0.4,0.7
1512601,15,34,210.82,122.17,5.4,4.7,0.2,17,6.9,5.9,0.3,1030,20.7,0.47,0,0.75,1.3,0.3,0.7,1.3
4075000,4,24,198.12,100.45,4.1,0.7,1.6,10.81,4.4,0.6,2.3,172,14.7,0.445,0.381,0.707,0.6,0.2,0.4,0.4
6000000,8,30,182.88,79.19,10.9,4.4,2.7,15.5,7.2,3.8,2.3,486,19.1,0.428,0.301,0.669,3.8,0.2,0.7,1.3
838464,0,22,190.5,95.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378242,1,19,208.28,113.12,1.2,0.8,0.3,21.58,1.2,0.8,0.3,11,2.7,0.444,0,0.833,0,0.3,0.1,0.2
10500000,4,29,203.2,97.74,14.3,1.5,3.4,13.98,12.1,1.2,3.2,318,26.8,0.452,0.378,0.863,1.2,0.1,0.5,1.4
10000000,9,31,182.88,79.19,12.4,5.3,2.6,18.86,12.7,4.9,2.6,632,29.5,0.472,0.393,0.855,4.9,0.2,1.1,2
12400000,9,29,198.12,99.55,19.4,5.2,5.1,21.16,16.5,5.1,4.8,525,32.1,0.445,0.318,0.759,5.1,0.4,1.3,2.6
1911960,0,22,185.42,83.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838464,0,22,205.74,95.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7945000,7,27,190.5,87.33,7.9,3.2,3.2,10.99,7,2.6,2.4,446,20.8,0.45,0.329,0.765,2.6,0.2,0.7,1
2407560,1,21,208.28,101.81,2.9,1.5,0.1,10.81,2.9,1.5,0.1,53,8.6,0.471,0.429,0.625,0.2,0.1,0.1,0.2
7333333,4,26,203.2,101.81,7.8,1,2.5,10.46,7.9,0.8,2.3,264,20.7,0.452,0.403,0.822,0.8,0.1,0.2,0.6
21000000,5,26,193.04,95.02,23.1,4.3,5.2,23.12,17.4,3.8,4.5,366,33.4,0.445,0.353,0.8,3.8,0.5,1.7,2.6
2659800,2,22,210.82,108.6,11.6,7.7,0.4,17.57,8.6,5.5,0.4,155,22.2,0.466,0.327,0.729,1.5,0.4,0.5,1.4
3410284,3,22,210.82,113.12,12.7,6.4,1.8,16.65,12.7,6.5,1.8,206,27.9,0.498,0.346,0.783,1.1,1.8,0.7,1.3
13964045,11,30,203.2,100,11.8,6.3,0.4,14.83,13.4,5.9,0.4,820,30.7,0.499,0.326,0.675,1.6,0.4,1.5,1.4
24157303,5,23,210.82,109.5,26.9,10,1.4,27.37,17.2,7.5,1.3,393,32.7,0.506,0.284,0.746,3.8,1.3,1.2,2.4
15000000,8,28,185.42,92.76,17.7,5,3.8,19.79,13.8,4.7,3.8,492,27.7,0.45,0.337,0.799,4.7,0.5,1.5,2.7
1544951,2,25,195.58,103.62,13,3.2,3.3,14.31,11.3,3.8,3,123,27.8,0.469,0.395,0.872,3.8,0.2,1,1.5
1378242,1,23,198.12,104.98,4,0.5,2.6,9.13,4,0.5,2.6,54,14.4,0.4,0.352,0.875,0.5,0.2,0.6,0.5
1641000,3,25,193.04,94.57,5.4,1.1,2,9.35,3.7,0.8,1.6,155,12.6,0.421,0.364,0.845,0.8,0.2,0.2,0.5
9607500,5,28,193.04,90.5,4.3,3.8,1.7,8.64,6,3.7,1.9,329,21.9,0.391,0.387,0.84,3.7,0,0.5,1.3
2481000,0,21,193.04,91.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11327466,6,27,210.82,99.1,8.8,1.5,6.8,15.78,7.9,1.1,5.5,391,20.4,0.541,0.077,0.572,1.1,1.5,0.5,1.1
7000000,10,31,208.28,106.33,10.9,5.9,0.4,14.94,11,5.9,0.4,678,24.5,0.443,0.366,0.77,1.2,0.4,0.7,1
3382000,10,30,213.36,122.17,13,4,1.3,16.52,17.9,6.8,1.7,636,31.2,0.502,0.335,0.789,1.6,1.7,0.6,2
2799720,2,21,215.9,100,4.8,3,0.7,10.22,4.4,2.6,0.6,131,13.7,0.429,0.331,0.683,0.5,0.6,0.4,0.5
13000000,6,27,203.2,100.45,20.1,4,5.2,17.45,15.1,3,4.1,378,31.8,0.454,0.391,0.877,3,0.2,1.4,1.8
1378242,1,23,195.58,86.88,4.7,1.2,2.7,6.57,4.7,1.2,2.7,6,16.3,0.406,0.2,0,1.2,0.2,0.3,1
10607143,5,26,200.66,96.38,6.9,1.3,1.9,8.49,6.3,1.1,2.4,368,22.6,0.42,0.38,0.809,1.1,0.2,0.5,0.6
2534280,1,22,208.28,104.52,1,0.5,0,10.33,1,0.5,0,22,3.2,0.563,0.4,0.5,0.1,0,0.1,0.2
3710850,12,34,182.88,83.71,11.6,6.3,2.9,17.84,8.9,3.9,2.1,764,19.7,0.424,0.354,0.798,3.9,0,0.4,1.5
24107258,6,26,203.2,101.81,18.9,2,6.1,15.89,13.1,1.5,4.9,463,30.4,0.451,0.367,0.789,1.5,0.2,0.7,1.2
838464,0,28,200.66,97.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230000,0,22,190.5,85.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6560640,0,19,200.66,98.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1544951,2,25,203.2,99.55,5.9,1.2,3.6,7.67,4.6,0.9,2.9,102,20.5,0.374,0.295,0.75,0.9,0.3,0.6,0.6
1512601,14,35,190.5,83.71,8.4,2.1,1.8,13.08,11.1,4.1,2.2,917,25,0.434,0.327,0.798,4.1,0.2,1.1,1.8
22897200,10,30,210.82,119.91,12,15.2,0.9,20.17,9.4,10.7,1.7,750,28.1,0.673,0.091,0.446,0.7,1.7,0.6,1.3
1378242,1,26,210.82,108.6,5.4,3.3,0.7,13.45,5.4,3.3,0.7,72,16.8,0.489,0.313,0.746,0.7,0.7,0.4,0.4
18622514,9,32,195.58,99.55,12.7,2.7,3.1,11.49,13.8,2.2,3.2,655,32.8,0.427,0.383,0.827,2.2,0.2,1.1,1.3
1512601,3,32,218.44,106.33,3.5,4,1.1,17.81,3.3,4,1,168,12.1,0.639,0.143,0.584,0.4,1,0.4,0.6
5000000,20,40,213.36,110.86,12,5.7,0.6,16.76,21.2,7.7,0.9,1471,34.4,0.472,0.383,0.879,2.5,0.9,0.8,1.7
9631250,4,27,210.82,108.6,8.5,5.6,0.4,18.82,6.6,4.2,0.4,254,16.7,0.535,0.292,0.739,0.8,0.4,0.7,0.6
3819960,1,20,190.5,88.24,15.2,5.2,3.8,12.89,15.2,5.2,3.8,69,29.7,0.395,0.313,0.694,5.2,0.3,1,2.8
838464,0,21,208.28,97.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512601,15,34,203.2,108.6,16.2,5.8,0.6,12.78,24.1,6.5,0.5,1054,35.9,0.449,0.347,0.812,3,0.5,1,2.7
15293104,4,24,208.28,108.6,13.9,10.8,1.9,24.55,10.6,8.1,1.4,228,22.6,0.629,0,0.482,0.8,1.4,0.7,1.1
1512601,5,27,198.12,85.97,4.6,2.2,2.7,10.84,11.5,4.9,4.7,287,27.5,0.402,0.25,0.707,4.9,0.6,1.4,2.7
3206160,2,21,208.28,108.6,7.7,5.5,1,11.14,8.5,4.8,0.9,154,21.2,0.438,0.309,0.617,0.9,0.9,0.8,1.4
1621415,4,28,200.66,95.02,7.1,1,3.1,11.66,6.4,0.9,3.2,220,20.4,0.454,0.359,0.811,0.9,0.3,0.6,0.8
13500375,10,29,193.04,97.29,18,2.2,2.5,15.22,16.7,3.1,2.5,561,33.2,0.43,0.376,0.816,3.1,0.3,1,2.1
1512601,11,32,200.66,92.76,12.1,0.6,3.2,14.1,9.8,1,2.5,585,19.7,0.419,0.362,0.816,1,0.3,0.5,1.1
35650150,9,29,195.58,99.55,30.4,8.8,5.4,29.87,23,6.1,5.1,687,33.8,0.443,0.364,0.854,6.1,0.5,1.5,3.5
3651480,16,36,210.82,113.12,6.5,3.4,0.3,16.47,11.7,6.2,0.8,923,26.8,0.548,0.14,0.66,1.8,0.8,1.1,1.8
35654150,13,33,182.88,79.19,18.6,7.9,5.4,24.39,18.7,9.8,4.5,892,35.3,0.472,0.372,0.868,9.8,0.1,2.3,2.4
1378242,1,22,215.9,95.02,1.2,1.2,0.8,1.9,1.2,1.2,0.8,18,6.9,0.188,0.105,0.667,0.1,0.8,0.1,0.6
7969537,7,33,198.12,110.86,6.1,0.9,5.6,8.36,7.4,1.5,5.7,500,27.8,0.426,0.356,0.748,1.5,0.3,1.2,1
8641000,4,25,205.74,104.07,7.9,2.7,5.4,15.91,4.9,1.7,3.6,257,17.9,0.478,0.338,0.733,1.7,0.5,0.9,0.8
1378242,1,22,198.12,99.55,11,1.6,3.1,9.89,11,1.6,3.1,82,28.7,0.44,0.356,0.747,1.6,0.2,0.9,1.5
1656092,4,29,195.58,90.5,20.1,3.6,3.1,26.4,8.2,1.5,2.2,171,17.9,0.447,0.359,0.757,1.5,0.2,0.6,1.3
838464,0,23,187.96,88.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512601,9,30,205.74,101.81,5.7,1,3.8,15.56,8,1.2,4.1,552,20.7,0.451,0.369,0.678,1.2,0.2,0.6,1
30521115,11,31,185.42,79.19,17.1,4.1,2.3,15.48,14.3,5.7,2.9,718,32.5,0.441,0.377,0.814,5.7,0.2,1.5,2
24119025,10,33,215.9,115.38,17.2,8.1,1.4,17.42,15.2,7.7,1.5,716,33.7,0.487,0.344,0.779,3.3,1.5,0.9,2.1
7666667,4,28,205.74,102.71,10.3,8.4,0.5,14,8.1,6.1,0.4,234,22.4,0.477,0.351,0.765,1,0.4,0.6,1.1
1544951,2,23,198.12,96.38,9.5,3.2,2.3,12.72,7.5,2.9,2.1,128,21.9,0.378,0.302,0.771,2.9,0.4,0.7,1.3
5915040,0,19,210.82,109.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512601,7,28,190.5,91.86,6.9,3.9,2.4,13.35,6.4,3.1,2,399,17.9,0.427,0.326,0.74,3.1,0.1,0.6,1.2
24107258,7,29,208.28,104.07,7.9,1.9,2.5,13.67,13.1,2.8,4.6,410,31,0.466,0.377,0.708,2.8,0.4,0.9,1.5
1378242,1,21,208.28,99.55,5.6,4.4,0.4,16.64,5.6,4.4,0.4,36,14.3,0.566,0,0.806,0.9,0.4,0.3,1
1544951,2,24,195.58,104.07,9.3,1.9,1.6,11.86,8.1,1.6,1.5,49,18.9,0.431,0.373,0.716,1.6,0.1,0.5,1.3
8000000,8,32,198.12,88.24,8.4,1.9,2.3,10.29,5.5,1.7,2,439,19.1,0.405,0.357,0.725,1.7,0.3,0.8,0.9
1512601,5,27,190.5,79.19,7.4,1.5,1.7,9.45,5.3,1.1,1.3,270,13.1,0.453,0.346,0.784,1.1,0.1,0.4,0.7
25434263,6,25,208.28,114.48,28.1,11.1,2.6,28.98,23.4,10.3,2.4,410,34.8,0.517,0.309,0.795,1.9,2.4,1.3,1.8
1544951,2,22,205.74,99.55,4.9,4.1,0.4,17.05,4.9,4.1,0.4,69,11.3,0.548,0,0.747,0.3,0.4,0.2,0.5
12252928,5,27,200.66,101.81,2.4,1.8,3,4.79,6.2,1.6,3.3,261,23.1,0.396,0.331,0.816,1.6,0.2,0.7,1
25976111,9,28,193.04,92.76,19,6,4.5,17.87,14.9,6.2,3.7,585,32.8,0.45,0.36,0.788,6.2,0.4,1.5,2.7
1378242,0,20,190.5,92.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2205000,4,28,203.2,101.81,7.8,1.4,2,9.32,5.2,1.1,1.6,184,18.5,0.435,0.394,0.856,1.1,0.2,0.4,0.6
12500000,4,27,208.28,113.12,15.6,7.4,0.7,18.72,11.8,5.7,0.7,273,23.7,0.419,0.357,0.801,1.3,0.7,0.8,1.2
8808685,7,29,193.04,86.43,12.5,2.3,2.9,12.18,7.6,1.8,2,462,21,0.455,0.385,0.74,1.8,0.2,0.7,0.9
1567707,3,22,210.82,124.43,6.3,3,0.6,15.43,12.9,5.3,1,131,23.5,0.515,0.2,0.682,1,1,0.3,1.8
3000000,4,24,193.04,83.71,12.7,6.2,4.3,16.6,11.2,6.4,4.2,300,29.5,0.457,0.298,0.619,6.4,0.3,1.3,2.4
8641000,4,23,205.74,113.12,16.1,8,0.5,19.96,13.5,8.9,0.5,238,27.8,0.493,0.257,0.717,2.6,0.5,0.6,2.3
1544951,2,23,200.66,95.02,6.3,0.8,3,15.18,6.2,0.8,2.6,51,16.9,0.449,0.29,0.661,0.8,0.3,0.9,1
22347015,12,33,210.82,117.65,23.1,8.5,1.2,25.12,19.4,8.3,1.1,869,34.6,0.489,0.288,0.806,1.9,1.1,0.8,1.6
6153846,11,32,195.58,95.02,12.1,1.9,1.9,14.2,9.9,1.7,2,724,23.3,0.427,0.377,0.841,1.7,0.1,0.6,1
7000000,2,25,208.28,101.81,5.9,1,2,14.13,5.3,0.8,1.7,144,13.2,0.44,0.384,0.819,0.8,0.4,0.3,0.5
2487000,9,31,203.2,104.07,5.7,0.7,4.1,10,6.1,0.7,3.8,651,21.4,0.469,0.332,0.645,0.7,0.5,0.7,0.5
27739975,9,29,200.66,99.55,23,5.2,3.9,21.1,19.7,3.1,4.1,675,34.1,0.448,0.288,0.827,3.1,0.3,1,2
3125000,2,24,190.5,85.97,6.9,1,1.4,9.19,5.6,0.9,1.1,116,15.5,0.411,0.377,0.679,0.9,0,0.3,0.4
16800000,17,38,213.36,113.12,10.1,8,1,18.98,17.4,9.3,1.6,1196,34,0.508,0.366,0.754,3.2,1.6,0.5,2.2
10087200,12,32,203.2,104.07,11.5,1.3,5.1,18.03,17.9,2.2,5.9,810,34.6,0.453,0.343,0.795,2.2,0.8,1.3,2.3
11571429,9,30,182.88,81.45,10,2.8,1.9,11.89,8.2,2.3,1.6,523,18.3,0.432,0.39,0.848,2.3,0.1,0.6,1
1544951,2,22,195.58,76.92,8.1,2.9,5.7,15.09,6.6,2.3,4.2,119,17.4,0.441,0.316,0.708,2.3,0.3,0.9,1.4
2947320,2,22,213.36,104.07,6.9,4.8,1.2,17.55,5.4,4.1,0.9,136,15.8,0.641,0.5,0.576,0.5,0.9,0.4,0.8
1512601,6,30,200.66,104.07,2,0.4,1.2,4.06,5,0.8,2,302,17.3,0.419,0.357,0.738,0.8,0.2,0.4,0.5
2357160,0,19,195.58,92.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667160,1,24,193.04,85.97,3.2,0.5,1.5,15.89,3.2,0.5,1.5,17,8.2,0.485,0.615,0.7,0.5,0.2,0.2,0.4
1378242,0,22,187.96,85.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2516048,3,24,198.12,104.07,6.2,0.7,2.4,13.06,5.8,0.7,2.8,168,14.3,0.422,0.3,0.784,0.7,0.3,0.4,0.6
18089887,6,29,195.58,90.95,12.9,3.5,3.8,14.51,8.2,1.8,2.9,416,20,0.422,0.36,0.718,1.8,0.4,1,1.4
1634640,2,24,198.12,95.02,5.2,1.9,2.8,7.69,3.7,1.2,2,64,12.9,0.442,0.25,0.51,1.2,0.3,0.5,1
1512601,20,41,198.12,99.55,5.4,1.2,2.6,10.8,17.7,3.3,4.5,1405,31.4,0.437,0.373,0.799,3.3,0.6,1,1.8
2299080,1,21,208.28,106.33,10.5,7.3,1.1,18.33,10.5,7.3,1.1,74,24.1,0.576,0.34,0.715,1.3,1.1,0.6,1.4
7200000,5,29,213.36,110.86,10,7.9,0.8,15.85,5.5,5.7,0.8,286,16.8,0.552,0.352,0.695,0.6,0.8,0.4,0.9
1378242,1,22,195.58,82.81,7.2,1.4,2.3,10.05,7.2,1.4,2.3,56,17.4,0.377,0.362,0.714,1.4,0.1,0.3,0.7
1349383,1,23,200.66,88.24,2,1.3,0.8,18.25,2,1.3,0.8,6,4.7,0.455,0.4,0,1.3,0,0.2,0.3
2250960,0,20,200.66,85.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4350000,5,25,215.9,113.12,8.5,7.5,0.9,19.37,7.2,6.5,1,335,19.9,0.485,0.24,0.707,0.8,1,0.4,1.3
13766421,8,30,190.5,90.5,18,4,0,15.97,12,4.5,2.9,406,26.6,0.433,0.35,0.805,4.5,0.4,1.2,2.4
12500000,6,30,210.82,112.67,4.3,4.1,0.5,10.67,4.9,4.6,0.8,328,16.7,0.537,0,0.544,0.5,0.8,0.4,0.9
1544951,2,25,205.74,106.33,1,0.1,0.7,7.84,2.9,0.2,1.5,31,8.4,0.45,0.333,0.8,0.2,0.1,0.2,0.2
2526840,2,24,203.2,99.55,14.1,2.6,4.7,12.9,10.6,1.9,3.9,141,24.4,0.42,0.374,0.825,1.9,0.5,0.9,1.8
1620480,0,21,205.74,110.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5356440,0,20,187.96,81.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378242,1,23,200.66,100,3.3,0.7,2.3,5.84,3.3,0.7,2.3,53,13.5,0.375,0.256,0.8,0.7,0,0.3,0.4
24000000,10,29,203.2,90.5,11.6,5.5,4.8,14.45,12.1,3.8,5.3,692,31.6,0.434,0.355,0.839,3.8,0.6,1,1.9
17000000,7,26,205.74,115.38,5.7,5.7,1.2,14.15,5,6.5,1.4,529,20.9,0.513,0,0.566,0.5,1.4,0.3,0.9
3206640,0,20,200.66,101.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988464,0,23,187.96,83.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1544951,2,24,210.82,108.6,5.1,3.8,0.3,21.2,6.9,5.7,0.4,120,15.2,0.536,0.333,0.698,1.1,0.4,0.5,1.1
3627842,3,25,213.36,109.5,11.1,3.6,0.2,14.42,10,4.1,0.4,235,23.4,0.412,0.347,0.765,1.7,0.4,0.5,0.9
13000000,6,25,200.66,104.98,9.2,1,4.1,12.54,9.1,1.2,5.9,357,26.7,0.477,0.194,0.707,1.2,0.7,0.7,1
7488372,6,26,195.58,83.71,12.9,2.3,4.1,17.08,9.1,1.4,3.2,356,18.7,0.445,0.336,0.837,1.4,0.3,0.6,0.8
3447480,1,20,190.5,90.5,6.7,1.4,1,10.32,6.7,1.4,1,63,13.5,0.36,0.342,0.842,1.4,0.1,0.3,0.8
5000000,17,36,187.96,83.71,7.7,3.5,1.7,12.8,15.8,5.7,2.8,1198,31.1,0.492,0.326,0.752,5.7,0.1,0.9,2.3
12000000,7,28,185.42,83.26,22.1,5.6,3.1,20.62,18.9,5.4,3.7,523,33.9,0.415,0.358,0.834,5.4,0.4,1.3,2.1
14087500,13,32,205.74,107.24,9.5,4.7,0.5,13.9,10.5,5.3,0.5,939,28.6,0.444,0.361,0.808,1.3,0.5,0.8,1
13528090,5,26,213.36,108.6,7.1,5.4,0.6,15.96,7.9,5.6,0.7,312,22.5,0.504,0.25,0.732,1.3,0.7,0.7,1
2955840,1,21,208.28,115.38,6.9,5.5,0.6,15.74,6.9,5.5,0.6,69,19.8,0.512,0,0.721,1.5,0.6,0.5,1
18109175,10,32,190.5,85.97,17.3,4.8,4.1,16.64,13.7,4.8,3.1,722,28,0.469,0.364,0.762,4.8,0.2,1,2.3
6270000,9,30,195.58,90.5,11.2,1,2.8,12.54,8,1.1,2.2,592,21,0.411,0.381,0.851,1.1,0.1,0.5,0.7
1512601,15,38,203.2,106.33,0.6,0.7,0.1,1.8,7.7,6.8,0.3,844,25.4,0.491,0.093,0.755,0.9,0.3,0.5,0.9
14651700,9,31,203.2,108.6,10.8,4.9,0.7,15.82,8,3.6,0.9,547,20.7,0.481,0.299,0.694,2.1,0.9,0.8,1.5
19245370,4,26,193.04,85.97,11.7,2.3,3.4,13.07,11,2.4,3.4,213,26.7,0.439,0.371,0.777,2.4,0.5,0.9,1.2
1512601,2,21,200.66,90.5,3.1,0.5,1.9,10.1,4.4,0.4,2.3,52,15.2,0.511,0.207,0.692,0.4,0.5,0.3,0.4
1544951,2,27,193.04,90.5,5.1,0.9,1.8,12.07,6.1,1.5,3,96,23.6,0.424,0.345,0.608,1.5,0.2,0.6,0.6
12537527,5,27,213.36,108.6,11.5,5.7,0.5,17.82,9.9,4.9,0.5,354,21.3,0.481,0.371,0.75,1.9,0.5,0.7,1.5
9367200,3,25,198.12,90.5,12.9,2.9,3.5,13.6,10.3,2.4,3,186,29.1,0.434,0.376,0.787,2.4,0.8,1.2,1.3
1512601,15,36,193.04,99.55,11.4,3.4,3.8,15.09,22.5,5.5,4.7,982,34.5,0.483,0.287,0.767,5.5,0.9,1.6,3.2
11550000,6,26,193.04,97.29,14.3,3.8,2.6,10.59,13.3,2.8,2.7,365,28.7,0.412,0.341,0.701,2.8,0.3,1,1.9
25434262,6,29,213.36,119.91,14,11.4,1.7,24.18,13.6,11.4,2.4,271,26.8,0.575,1,0.627,0.5,2.4,0.6,1.6
3448926,3,22,200.66,101.81,7.8,2.2,5.4,11.56,7.5,2,5.3,164,27.7,0.41,0.314,0.653,2,0.4,0.9,1.3
7250000,10,30,182.88,82.81,10.2,3.8,2.1,15.4,9.6,3.8,1.8,726,23.6,0.407,0.376,0.863,3.8,0,0.6,1.5
4865040,0,20,213.36,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378242,1,26,205.74,105.43,4.2,4.3,0.5,16.43,4.2,4.3,0.5,42,13.8,0.54,0,0.689,0.8,0.5,0.4,0.5
17000000,6,25,200.66,92.76,17.8,2.9,3.2,15.61,13.1,2.3,2.7,376,27.2,0.448,0.379,0.804,2.3,0.1,0.8,1.6
1050000,0,22,198.12,90.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21590909,4,23,205.74,99.55,17.6,7.9,0.8,16.51,11.4,5.8,0.6,263,26.1,0.451,0.309,0.698,1.7,0.6,0.8,1.1
2639314,3,26,193.04,92.76,8.4,4.6,2.3,14.3,6.6,3,2,213,18.7,0.411,0.314,0.784,3,0.1,0.8,1
4969080,1,21,208.28,95.02,5.4,3.7,1.1,9.85,5.4,3.7,1.1,27,19.8,0.379,0.348,0.76,0.7,1.1,1.2,1
1378242,1,23,200.66,88.24,3.7,0.9,2.2,7.83,3.7,0.9,2.2,62,16.5,0.427,0.196,0.723,0.9,0.2,0.5,0.5
2416222,3,24,208.28,108.14,7.7,4.4,0.7,10.52,6.2,4,0.5,142,18.3,0.436,0.344,0.763,0.7,0.5,0.5,0.9
16000000,8,32,215.9,124.43,4.2,3.2,0.4,12.32,6.8,4.9,0.8,454,18,0.535,0.19,0.738,0.6,0.8,0.3,1.2
10500000,6,27,200.66,93.21,8.7,1.6,3,9.96,9.6,1,2.6,411,23.8,0.421,0.371,0.798,1,0.3,0.8,0.8
6000000,3,29,198.12,88.24,13.9,2.5,3.5,12.8,8.8,1.8,2.5,202,21,0.459,0.331,0.759,1.8,0.2,0.6,1.4
12750000,7,27,213.36,117.65,16.5,9.2,1.1,19.79,14.8,9.8,0.9,456,29.8,0.499,0.308,0.729,2.2,0.9,0.8,1.7
25434263,6,25,195.58,93.67,22.6,4.5,4.4,18.51,18.7,3.4,3.7,406,33.9,0.446,0.393,0.794,3.4,0.3,1.1,2
2749080,0,19,200.66,97.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378242,1,21,210.82,112.22,1.5,1.1,0.1,9.89,1.5,1.1,0.1,15,4.8,0.381,0.1,0.556,0.4,0.1,0.1,0.1
1512601,10,32,205.74,106.33,10.8,1.3,3.1,14.8,13.2,1.6,4.6,783,30.3,0.438,0.332,0.799,1.6,0.5,0.7,1.5
5337000,14,32,210.82,119.91,16.6,12.5,1.6,20.56,17.4,12.7,2,1035,34.5,0.583,0.095,0.566,1.5,2,0.9,2.9
15944154,10,31,210.82,118.55,4.8,4.1,0.5,12.25,5.1,4.3,0.7,546,16.6,0.541,0,0.607,0.5,0.7,0.6,1
3454500,9,31,193.04,95.02,6.3,0.9,1.6,12.44,9.3,1.1,2.1,531,22.6,0.418,0.372,0.879,1.1,0.1,0.8,0.8
8600000,7,29,208.28,110.86,11.5,5.6,0.5,13.3,11.9,5.6,0.6,521,26.4,0.451,0.338,0.778,1.7,0.6,0.9,1.7
3208630,3,22,200.66,92.76,11.8,1.2,4.5,11.99,7.6,0.7,3.4,223,20.2,0.412,0.322,0.78,0.7,0.3,0.7,0.8
26011913,5,25,203.2,89.59,14.7,2,6.4,18.37,10.5,1.4,4.9,343,26.4,0.487,0.404,0.789,1.4,0.4,1.1,0.7
12650000,6,26,193.04,90.5,15.1,4,2.4,12.6,9.4,2.4,2,408,24.3,0.419,0.355,0.649,2.4,0.2,0.7,1.2
3129187,2,26,200.66,95.02,7.2,3.9,3.2,15.35,5.2,2.9,2.4,130,18.2,0.493,0.406,0.76,2.9,0.2,0.6,0.9
5450000,10,32,213.36,108.6,3.4,1.6,0.4,8.88,6.2,3.4,0.7,596,16.5,0.47,0.332,0.781,0.7,0.7,0.3,0.8
19169800,8,28,193.04,95.02,19.4,9.6,3.7,19.2,18.9,9.2,4.4,541,35.9,0.432,0.327,0.786,9.2,0.7,1.7,3.8
11830358,6,27,198.12,85.97,15.7,4.1,5,16.21,10.4,2.3,3.9,395,22.8,0.434,0.341,0.79,2.3,0.4,0.7,1.3
1773840,2,21,195.58,88.24,3.2,0.5,1.1,9.03,3.3,0.5,1,84,8.9,0.422,0.336,0.698,0.5,0.1,0.3,0.4
2000000,1,27,200.66,97.29,4.2,0.6,3.3,9.86,4.2,0.6,3.3,39,16.1,0.453,0.293,0.629,0.6,0.4,0.3,0.5
16517857,4,24,193.04,95.02,17.5,2.9,2.6,16.6,12.3,2.1,2.5,255,28.4,0.469,0.371,0.803,2.1,0.2,1.3,1.3
2166360,2,23,205.74,104.07,3.3,2.2,0.1,9.74,4.4,2.8,0.2,87,12.9,0.435,0.368,0.761,0.5,0.2,0.4,0.5
24605181,3,23,213.36,113.12,18.5,10.7,0.8,24.52,14.9,9.1,0.7,228,27.2,0.53,0.366,0.832,4.4,0.7,1,2.1
1874640,1,22,208.28,101.81,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
3364249,3,22,208.28,105.88,9.9,4.8,0.5,17.95,7.4,3.9,0.3,224,17.5,0.435,0.358,0.707,1,0.3,0.4,0.8
29230769,12,33,203.2,111.31,14.6,6.4,1.2,17.06,14.2,7.4,1,875,29.5,0.491,0.33,0.734,2.3,1,1.3,1.8
1349383,1,23,190.5,79.19,3.3,2.3,0.7,27.14,3.3,2.3,0.7,3,8.3,0.667,0,1,2.3,0,1,0.3
3499800,2,21,193.04,93.67,16.7,3.4,3.7,16.17,13.3,2.7,3.1,163,26.6,0.432,0.359,0.898,2.7,0.3,0.8,1.7
12917808,5,28,210.82,106.33,7.1,5.4,1.1,17,8.6,6.3,1,389,22.3,0.566,0,0.566,2,1,0.8,1.5
2894160,0,20,208.28,95.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512601,7,29,175.26,83.71,15.2,4.8,2.1,12.63,18.9,5.1,2.6,473,29.8,0.439,0.361,0.877,5.1,0.1,0.9,2.4
