SALARY,EXPERIENCE,AGE,HT,WT,PPG_LAST_SEASON,APG_LAST_SEASON,RPG_LAST_SEASON,PER_LAST_SEASON,PPG_CAREER,APG_CAREER,RGP_CAREER,GP,MPG,FGP,THP,FTP,APG,BLKPG,STLPG,TOPG
5697054,3,23,220.98,108.6,22.7,6.6,2.4,20.42,17.8,7.1,2,186,31,0.437,0.361,0.804,1.3,2,0.7,1.8
1485440,0,20,215.9,108.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119650,7,30,203.2,108.6,4.1,0.6,2.4,6.33,5.3,0.7,2.6,346,18.6,0.42,0.408,0.801,0.7,0.1,0.4,0.7
1512601,4,23,205.74,113.12,4.9,5.8,0.3,12.85,4.1,4.7,0.3,231,15.5,0.444,0.297,0.664,0.4,0.3,0.3,0.7
8575916,10,30,190.5,90.5,7.9,1.4,2.1,7.58,8.5,2.8,2.1,552,21.4,0.414,0.366,0.824,2.8,0.1,0.6,1.4
12800562,10,31,205.74,101.81,10,2.1,5.4,10.99,13.5,1.8,5.4,590,31.1,0.445,0.341,0.769,1.8,0.6,0.7,1.4
10464092,5,27,205.74,101.81,12.6,2,5.4,12.98,12.7,1.6,5.5,291,29.4,0.399,0.358,0.82,1.6,0.7,1.6,1.8
25467250,2,24,213.36,113.12,22.9,11,1.8,22.95,22,9.9,2,94,28.7,0.478,0.327,0.774,2.8,2,0.7,3.7
8339880,1,20,193.04,90.5,7.1,3.8,3.1,12.44,7.1,3.8,3.1,14,18.1,0.405,0,0.476,3.8,0.3,0.9,1.2
1512601,13,31,205.74,108.6,4.6,4.5,0.6,14.9,7.2,5.5,1,819,21.7,0.572,0.337,0.67,1.2,1,0.6,1.1
1740000,1,21,200.66,85.97,1.6,0.3,0.8,3.43,1.6,0.3,0.8,14,5.7,0.286,0.294,0.5,0.3,0.1,0.1,0.1
1600520,3,26,187.96,85.97,6.3,4,3,12.51,6.4,5.1,3.1,238,22.9,0.475,0.335,0.765,5.1,0.1,1.3,1.7
5000000,5,27,210.82,108.6,7.6,4.3,0.5,14.39,5.4,3.1,0.5,243,14.7,0.491,0.378,0.848,0.9,0.5,0.4,0.7
12250000,12,34,193.04,90.5,17.1,3,2.5,15.92,12.4,2,2,760,25.4,0.449,0.415,0.89,2,0.1,0.5,1.1
2526840,2,24,208.28,100.9,14.6,6.7,0.3,15.88,13.7,6.5,0.3,159,27.9,0.431,0.355,0.82,2.4,0.3,0.7,2.1
1703649,0,21,195.58,85.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6434520,1,22,208.28,104.07,15.8,8.2,8.1,20.03,15.8,8.2,8.1,81,33.7,0.545,0,0.56,8.2,0.9,1.7,3.4
2526840,0,19,193.04,90.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034120,1,21,203.2,104.98,5.9,0.7,2.5,10,5.9,0.7,2.5,74,20,0.471,0.371,0.629,0.7,0.2,0.7,0.6
1512601,4,28,195.58,85.52,2.3,0.9,1.1,8.21,3.1,2,1.6,77,12.6,0.375,0.154,0.684,2,0.1,0.6,0.8
10000000,9,31,198.12,97.29,8.6,1.6,3.6,11.38,8.8,1.6,3.4,540,25.1,0.418,0.395,0.815,1.6,0.8,1,1
21666667,9,29,208.28,106.33,12.6,6.3,1.3,14.72,12.1,7.2,2.2,679,28.9,0.512,0.367,0.761,0.7,2.2,0.4,1.3
23114067,7,27,200.66,104.07,16.2,2.3,4.7,26.03,16.3,2.3,6.2,407,30.4,0.495,0.386,0.846,2.3,0.7,1.8,1.4
31200000,12,32,185.42,88.69,16.2,6.9,5.6,19.53,14.4,5.9,4.2,791,31.1,0.425,0.37,0.803,5.9,0.3,1.3,2.2
8333333,13,31,198.12,99.55,10,0.8,2.2,13.08,9.8,1.1,2.4,785,20.7,0.414,0.361,0.809,1.1,0.3,0.7,0.9
1512601,8,28,210.82,119.91,10.3,6.9,0.5,21.24,13.7,8.6,0.6,589,28.9,0.515,0,0.707,2.3,0.6,1.1,2
1826300,3,26,208.28,107.69,2.1,4.1,0.8,13.99,2,3.7,0.7,78,11,0.543,0,0.394,1,0.7,0.4,0.6
9367200,3,25,193.04,97.29,5.5,1.3,1.7,8.57,6.6,1.1,2,195,16.2,0.427,0.324,0.801,1.1,0.2,0.6,0.9
1569360,2,22,198.12,92.76,3.4,0.5,1.3,5.91,3.5,0.5,1.2,48,10.9,0.367,0.294,0.78,0.5,0,0.3,0.4
1544951,2,24,205.74,104.07,7.3,4.5,0.5,14.54,6,4,0.6,136,18.7,0.506,0.216,0.639,1.3,0.6,0.6,0.7
16539326,6,26,213.36,119.91,12.7,8.6,0.9,22.52,11.7,8.5,1,440,25.5,0.558,0.397,0.785,0.7,1,0.4,1.5
8653847,2,24,182.88,88.24,8.6,3.2,2.4,15.9,6.8,2.5,2,113,16.1,0.413,0.41,0.829,2.5,0.2,0.7,0.8
2536898,3,26,195.58,82.81,8,2.9,2.9,16.49,6.6,2.3,2.3,123,17.1,0.455,0.362,0.797,2.3,0.4,0.9,1
1378242,1,23,205.74,101.36,4.6,3.6,1,18,4.6,3.6,1,57,14.2,0.627,0,0.682,1.8,1,0.6,0.9
1544951,2,25,187.96,81,9.5,2.7,2.5,12.88,8.3,2.4,1.9,47,19.7,0.487,0.438,0.8,2.4,0,0.3,1
5337000,8,28,210.82,122.17,25.2,12.9,1.6,22.66,21.5,11,1.2,535,32.4,0.46,0.338,0.737,3.2,1.2,1.4,3.6
37457154,9,30,190.5,85.97,26.4,6.1,5.1,28.32,23.1,6.8,4.4,625,34.4,0.477,0.436,0.903,6.8,0.2,1.8,3.2
30000000,11,30,205.74,108.6,26.4,5.4,6.8,26.05,27.1,3.9,7.1,771,37.1,0.49,0.384,0.882,3.9,1.1,1.2,3.1
1644240,0,21,198.12,95.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17469565,6,28,200.66,104.07,11,7.6,1.3,16.1,9.3,6.9,1.1,467,27.7,0.438,0.327,0.707,4.6,1.1,1.4,2
16000000,14,34,198.12,97.29,6,3.3,3.8,11.22,12.6,4.4,5.2,1040,34.1,0.465,0.333,0.713,4.4,0.5,1.5,2
1512601,8,31,208.28,104.52,5.8,3.3,0.2,13.25,6.2,4,0.2,562,18,0.457,0.363,0.766,0.8,0.2,0.5,0.7
1544951,2,23,213.36,110.86,1.7,0.9,0.2,6.88,1.8,1.5,0.3,25,7,0.5,0,0.4,0.1,0.3,0.1,0.4
8307692,13,33,200.66,86.88,5.5,2,1.8,11.64,6.5,3.1,2.4,769,21.1,0.485,0.183,0.794,3.1,0.4,0.7,1.3
1512601,3,22,205.74,99.55,4,0.6,3.3,14.82,3.3,0.6,2.8,124,11.1,0.56,0.25,0.568,0.6,0.6,0.4,0.4
18988725,7,28,200.66,97.29,20,2.5,3.8,16.15,19.2,2.3,3.4,537,32.9,0.458,0.422,0.852,2.3,0.5,0.9,1.7
5027028,6,30,185.42,83.71,12.2,2.9,4.1,12.46,9.4,3.4,4.1,302,28.6,0.413,0.376,0.767,3.4,0.4,1.3,1.4
12000000,8,27,187.96,81.45,14.3,2,2.5,9.71,12.3,1.7,3,459,28.4,0.439,0.366,0.772,1.7,0.2,1.1,1.5
1378242,1,22,182.88,85.97,4.8,2.1,1.8,7.23,4.8,2.1,1.8,48,16.2,0.352,0.278,0.776,2.1,0.1,0.8,0.9
21587579,9,30,208.28,101.81,15.3,2,4.8,13.96,15.3,2,4.7,481,31.2,0.419,0.367,0.865,2,0.4,0.8,1.3
3375360,0,20,198.12,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13565218,11,34,210.82,108.6,8.4,7.6,0.7,14.7,10.2,8.1,1.1,759,26.3,0.552,0.15,0.678,1.1,1.1,0.5,1.2
6000000,3,24,203.2,108.6,11,4,0.7,24.73,8.7,3.4,0.6,173,15.8,0.642,0.133,0.614,0.9,0.6,0.4,0.7
14800000,7,26,205.74,106.33,18.6,2.4,5.5,17.2,14.6,1.7,5.6,464,29.6,0.467,0.355,0.812,1.7,0.5,0.8,1.3
6134520,8,31,200.66,97.29,5.4,0.8,2.9,9.81,7.2,1.1,3.2,571,22.7,0.406,0.337,0.743,1.1,0.7,0.8,0.9
7000000,3,30,220.98,131.22,6,3.7,0.3,25.98,5.6,3.7,0.4,128,8.9,0.564,0,0.784,0.4,0.4,0.2,0.6
4320500,10,31,203.2,104.07,7.5,3,0.4,10.29,6.4,4.1,0.4,682,23.4,0.455,0.336,0.661,0.9,0.4,0.9,0.9
3046200,0,21,195.58,85.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4320500,6,30,203.2,107.24,8.8,3.3,0.1,13.72,7.4,3,0.1,357,16,0.476,0.351,0.762,0.9,0.1,0.3,0.8
6300000,1,31,195.58,88.69,9.5,4.6,2.8,11.67,9.5,4.6,2.8,45,25.2,0.419,0.379,0.848,4.6,0.1,0.5,2.2
1378242,1,23,195.58,97.29,3.9,0.9,1.9,8.22,3.9,0.9,1.9,73,15.8,0.429,0.377,0.67,0.9,0.3,0.7,0.7
1349383,1,24,195.58,89.59,9.7,2.4,3.5,10.18,9.7,2.4,3.5,30,28.4,0.445,0.25,0.782,2.4,0.4,0.9,1.5
8000000,13,31,185.42,79.19,22.6,5.3,2.5,20.29,13.7,3.1,2.1,861,24.4,0.42,0.348,0.834,3.1,0.2,0.9,1.6
7461960,1,20,198.12,85.97,10.2,7.2,6.9,12.53,10.2,7.2,6.9,52,34.2,0.36,0.305,0.451,7.2,0.8,1.7,2.6
3500000,10,29,205.74,106.33,13.2,1.7,5.6,17.89,12.7,1.3,4.8,583,23.4,0.464,0.352,0.76,1.3,0.5,0.6,1.7
1000000,0,18,203.2,81.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12000000,5,25,195.58,92.76,13.4,2.2,5.2,13.22,12,1.7,3.4,388,30.8,0.409,0.345,0.786,1.7,0.2,1.2,1.1
1655160,1,23,195.58,97.29,7.9,1.3,4.2,12.25,7.9,1.3,4.2,63,23.2,0.469,0.396,0.702,1.3,0.3,0.7,0.7
5757120,2,21,205.74,85.97,16.1,3.9,5.3,13.9,12.2,2.9,4.6,138,30.8,0.438,0.329,0.655,2.9,0.6,0.7,1.9
35654150,15,33,203.2,113.12,27.5,9.1,8.6,28.65,27.2,7.2,7.4,1143,38.8,0.504,0.344,0.739,7.2,0.8,1.6,3.5
1689840,1,23,205.74,99.55,16.1,6.3,0.4,14.22,16.1,6.3,0.4,77,31.2,0.45,0.366,0.707,1.8,0.4,0.6,1.8
1512601,10,30,213.36,122.17,4.8,2.6,0.9,22.39,7.5,4.8,1.5,558,16.7,0.559,0.067,0.582,0.3,1.5,0.4,0.9
1487694,0,21,203.2,92.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9000000,12,32,185.42,84.16,8.3,8.2,4,15.28,10.5,8.5,4.8,779,31.8,0.463,0.309,0.604,8.5,0.1,1.7,2.9
4449000,8,28,198.12,104.07,9.2,2.9,5.2,12.47,8.8,3,4.3,440,24.4,0.446,0.303,0.685,3,0.1,0.7,1.7
1762080,0,21,210.82,110.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1544951,2,21,215.9,108.6,3.7,2.9,0.3,15.38,5.5,3.5,0.6,81,12.6,0.519,0,0.71,0.7,0.6,0.3,0.7
20421546,10,30,208.28,108.6,9.3,5,0.3,12.6,12.8,5.4,0.3,622,26.4,0.423,0.382,0.855,0.9,0.3,0.5,1
15000000,14,33,203.2,97.29,11.7,1.6,4.4,11.8,10.5,2.1,4.8,942,29.5,0.424,0.353,0.723,2.1,0.3,1.5,1.4
7464912,9,30,205.74,106.33,2.8,0.8,0.2,8.46,6.5,3.5,0.6,503,17.8,0.444,0.352,0.765,0.8,0.6,0.6,0.8
8165160,0,20,215.9,113.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4661280,2,20,215.9,101.81,6.5,4.4,0.6,7.11,5.4,3.7,0.6,125,21.2,0.378,0.345,0.694,1.2,0.6,0.3,1.2
3314365,3,21,198.12,95.02,24.9,4.7,4.5,18.12,19.8,3.5,3.3,208,32.2,0.426,0.365,0.849,3.5,0.3,0.8,2.9
3552960,0,22,200.66,95.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512601,5,27,182.88,90.5,8.6,3.8,2.3,13.52,8.4,1.8,1.9,205,20.3,0.369,0.351,0.839,1.8,0.1,0.6,1.1
13585000,17,36,215.9,108.6,6.5,9.1,0.6,14.26,8.6,9.4,1.2,1079,28.3,0.596,0,0.646,0.9,1.2,0.6,1.5
3258539,5,27,193.04,92.76,8.9,0.6,1.6,9.86,7.1,0.6,1.3,241,15.6,0.401,0.404,0.821,0.6,0.1,0.3,0.6
1378242,1,25,193.04,85.97,6.6,2.4,2.7,15.67,6.6,2.4,2.7,23,16.7,0.476,0.231,0.737,2.4,0.3,1.1,1
1600520,3,24,208.28,106.33,6.5,4.4,0.6,17.47,7.4,4.2,0.8,156,16.9,0.547,0.257,0.687,1,0.8,0.5,0.7
6041520,1,21,203.2,90.5,13.1,1.5,4.6,11.91,13.1,1.5,4.6,77,25.4,0.417,0.263,0.634,1.5,0.5,1,1.9
949000,0,20,193.04,90.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1238464,0,20,187.96,81.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378242,1,23,198.12,95.02,3,0.6,1.9,4.78,3,0.6,1.9,21,11.5,0.289,0.289,0.667,0.6,0.1,0.5,0.5
11750000,4,25,203.2,97.29,19.6,1.3,5.1,17.71,13.7,1.1,4.1,218,26.9,0.5,0.283,0.754,1.1,0.5,0.9,0.9
7305600,0,19,210.82,105.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6500000,3,30,208.28,105.88,6.8,4.1,0.2,12.62,6.1,3.8,0.3,192,18.9,0.449,0.371,0.752,1.3,0.3,0.6,0.8
9000000,1,26,198.12,92.76,11.8,3.3,2.9,13.51,11.8,3.3,2.9,78,27.9,0.446,0.392,0.84,3.3,0.2,0.9,1.6
4696875,3,25,213.36,108.6,12.8,7,0.9,17.61,9.4,5.6,0.8,214,22.8,0.524,0.188,0.641,1.4,0.8,0.8,1
3000000,2,25,182.88,81.45,10.2,2.5,3,11.48,10.2,2.9,2.8,128,27.2,0.419,0.378,0.813,2.9,0.1,0.8,1.2
5470920,1,20,190.5,79.19,11.6,4.4,2.8,11.28,11.6,4.4,2.8,73,27.8,0.412,0.307,0.723,4.4,0.3,1,2.4
2207040,0,20,208.28,108.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3844760,2,24,193.04,96.83,13.5,1.9,3.8,16.13,12,1.7,3.6,162,24.1,0.437,0.412,0.86,1.7,0.2,0.8,1.4
2807880,1,23,203.2,95.02,6.7,1.1,2.8,9.25,6.7,1.1,2.8,68,22.1,0.442,0.308,0.722,1.1,0.2,0.4,0.6
8739500,10,29,213.36,110.86,6.7,6.6,0.5,17.56,5.8,5.1,0.8,644,16.7,0.537,0,0.587,0.5,0.8,0.4,0.7
1544951,2,22,210.82,106.33,8.7,4.8,0.8,14.33,8.7,4.8,0.7,93,19.9,0.476,0.356,0.766,1.1,0.7,0.4,1.2
1378242,1,24,180.34,85.97,7.9,2.8,2.5,13.02,7.9,2.8,2.5,52,18.9,0.379,0.36,0.817,2.8,0.2,0.7,1.3
5460000,5,25,195.58,90.95,7.5,0.9,2.5,9.73,9.1,1.2,2.6,349,24.5,0.417,0.351,0.785,1.2,0.2,0.7,1.3
11692308,17,37,205.74,113.12,14.5,6.7,0.2,17.41,16.6,9.1,0.3,1116,31,0.471,0.273,0.764,1.8,0.3,0.7,2.1
11011234,7,28,195.58,97.29,4.4,1.2,2.9,6.42,7.3,1.9,3.4,384,25.4,0.396,0.338,0.763,1.9,0.2,1.2,1.2
1349383,1,24,190.5,90.5,2,1.5,1,7.3,2,1.5,1,24,12.7,0.415,0.29,0.833,1.5,0,0.5,0.5
11286516,8,32,213.36,115.38,1.2,2.6,0.2,3.07,5.3,7.1,0.7,471,19.6,0.528,0,0.551,0.6,0.7,0.4,1.2
1349383,1,22,193.04,86.88,7.9,1.1,1.7,10.18,7.9,1.1,1.7,19,16.5,0.371,0.288,0.769,1.1,0.1,0.4,0.6
4441200,0,19,208.28,115.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221000,2,24,193.04,92.76,13.4,6,4.3,14.58,7.6,3.8,3,130,22,0.413,0.309,0.694,3.8,0.5,1.4,1.8
8740980,3,26,208.28,119.91,5.6,4.2,0.2,12.53,4.8,4.3,0.3,152,15.4,0.581,0,0.665,0.8,0.3,0.3,0.7
4384616,5,29,198.12,81.9,12.2,2.1,4,10.81,7.4,1.4,2.5,275,19.9,0.392,0.35,0.811,1.4,0.4,0.8,0.9
1990520,0,22,200.66,89.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19500000,4,23,195.58,90.5,16.7,3,3.9,14.65,14,3.2,3,230,28.7,0.437,0.373,0.82,3.2,0.2,0.8,2.1
14357750,10,30,213.36,124.43,11.8,4.5,0.8,14.77,9,5.4,1.2,692,23.2,0.527,0.2,0.76,0.8,1.2,0.3,1.1
4536120,1,21,213.36,108.6,15.2,7.5,0.6,15.68,15.2,7.5,0.6,68,29.7,0.434,0.362,0.843,1.2,0.6,0.6,1.2
20000000,4,23,203.2,110.86,12.6,4.9,0.3,17.19,15.3,5.5,0.4,183,30.7,0.49,0.352,0.747,2,0.4,1,1.6
3263294,3,24,190.5,85.97,8.8,4.5,2.8,14.04,5.9,2.4,1.8,113,15.4,0.386,0.34,0.75,2.4,0.2,0.7,1
